N063.59.31.655 W022.37.11.847
                                         N063.59.29.194 W022.36.34.307
                                         N063.59.28.947 W022.36.34.147
                                         N063.59.28.771 W022.36.34.138
                                         N063.59.28.965 W022.36.34.066
                                         N063.59.29.113 W022.36.33.977
                                         N063.59.29.271 W022.36.33.859
                                         N063.59.29.280 W022.36.33.843
                                         N063.59.29.429 W022.36.33.666
                                         N063.59.29.628 W022.36.33.352
                                         N063.59.29.822 W022.36.32.885
                                         N063.59.29.973 W022.36.32.401
                                         N063.59.30.072 W022.36.31.901
                                         N063.59.28.371 W022.37.37.967
                                         N063.59.29.123 W022.37.37.498
                                         N063.59.29.257 W022.37.37.531
                                         N063.59.29.370 W022.37.37.584
                                         N063.59.29.488 W022.37.37.697
                                         N063.59.29.644 W022.37.37.854
                                         N063.59.29.748 W022.37.37.988
                                         N063.59.29.853 W022.37.38.174
                                         N063.59.29.943 W022.37.38.400
                                         N063.59.30.027 W022.37.38.678
                                         N063.59.30.098 W022.37.38.940
                                         N063.59.30.129 W022.37.39.158
                                         N063.59.30.167 W022.37.39.407
                                         N063.59.30.180 W022.37.39.729
                                         N063.59.30.180 W022.37.40.545
                                         N063.59.30.186 W022.37.37.940
                                         N063.59.30.279 W022.37.37.463
                                         N063.59.30.355 W022.37.37.239
                                         N063.59.30.462 W022.37.36.949
                                         N063.59.30.617 W022.37.36.752
                                         N063.59.30.815 W022.37.36.620
                                         N063.59.31.572 W022.37.36.594
                                         N063.59.30.851 W022.37.36.613
                                         N063.59.30.612 W022.37.36.674
                                         N063.59.30.432 W022.37.36.738
                                         N063.59.30.185 W022.37.36.806
                                         N063.59.29.610 W022.37.37.122
                                         N063.59.29.123 W022.37.37.499
                                         N063.59.29.610 W022.37.37.117
                                         N063.59.29.793 W022.37.36.845
                                         N063.59.29.990 W022.37.36.374
                                         N063.59.30.081 W022.37.35.967
                                         N063.59.30.135 W022.37.35.649
                                         N063.59.30.188 W022.37.35.153
                                         N063.59.30.216 W022.37.35.398
                                         N063.59.30.247 W022.37.35.605
                                         N063.59.30.249 W022.37.35.609
                                         N063.59.30.293 W022.37.35.812
                                         N063.59.30.354 W022.37.35.969
                                         N063.59.30.456 W022.37.36.208
                                         N063.59.30.563 W022.37.36.356
                                         N063.59.30.650 W022.37.36.450
                                         N063.59.30.770 W022.37.36.560
                                         N063.59.30.883 W022.37.36.612
                                         N063.59.30.770 W022.37.36.560
                                         N063.59.30.652 W022.37.36.451
                                         N063.59.30.564 W022.37.36.360
                                         N063.59.30.456 W022.37.36.207
                                         N063.59.30.355 W022.37.35.969
                                         N063.59.30.292 W022.37.35.811
                                         N063.59.30.247 W022.37.35.600
                                         N063.59.30.216 W022.37.35.400
                                         N063.59.30.186 W022.37.35.146
                                         N063.59.30.188 W022.37.37.940
                                         N063.59.30.186 W022.37.37.049
                                         N063.59.30.188 W022.37.36.191
                                         N063.59.30.185 W022.37.34.847
                                         N063.59.30.176 W022.37.28.577
                                         N063.59.30.185 W022.37.15.071
                                         N063.59.30.183 W022.37.13.190
                                         N063.59.30.220 W022.37.12.964
                                         N063.59.30.454 W022.37.12.213
                                         N063.59.30.680 W022.37.11.957
                                         N063.59.30.847 W022.37.11.852
                                         N063.59.31.022 W022.37.11.829
                                         N063.59.31.570 W022.37.11.847
                                         N063.59.31.026 W022.37.11.829
                                         N063.59.30.873 W022.37.11.830
                                         N063.59.30.743 W022.37.11.767
                                         N063.59.30.625 W022.37.11.673
                                         N063.59.30.491 W022.37.11.502
                                         N063.59.30.382 W022.37.11.290
                                         N063.59.30.275 W022.37.11.013
                                         N063.59.30.183 W022.37.10.707
                                         N063.59.30.183 W022.37.13.301
                                         N063.59.30.181 W022.37.10.696
                                         N063.59.30.172 W022.37.08.142
                                         N063.59.30.185 W022.36.54.933
                                         N063.59.30.180 W022.36.54.280
                                         N063.59.30.243 W022.36.53.714
                                         N063.59.30.325 W022.36.53.267
                                         N063.59.30.442 W022.36.52.890
                                         N063.59.30.675 W022.36.52.388
                                         N063.59.30.867 W022.36.52.093
                                         N063.59.31.184 W022.36.51.865
                                         N063.59.31.340 W022.36.51.784
                                         N063.59.31.551 W022.36.51.780
                                         N063.59.31.341 W022.36.51.788
                                         N063.59.31.208 W022.36.51.712
                                         N063.59.31.032 W022.36.51.599
                                         N063.59.30.849 W022.36.51.410
                                         N063.59.30.685 W022.36.51.189
                                         N063.59.30.515 W022.36.50.808
                                         N063.59.30.343 W022.36.50.375
                                         N063.59.30.181 W022.36.49.521
                                         N063.59.30.177 W022.36.48.893
                                         N063.59.30.181 W022.36.54.281
                                         N063.59.30.177 W022.36.49.528
                                         N063.59.30.179 W022.36.48.887
                                         N063.59.30.162 W022.36.43.700
                                         N063.59.30.150 W022.36.26.556
                                         N063.59.30.155 W022.36.23.457
                                         N063.59.30.136 W022.36.21.586
                                         N063.59.30.045 W022.36.20.966
                                         N063.59.29.866 W022.36.20.456
                                         N063.59.29.578 W022.36.19.982
                                         N063.59.29.375 W022.36.19.848
                                         N063.59.28.962 W022.36.19.833
                                         N063.59.28.286 W022.36.19.830
                                         N063.59.05.131 W022.36.34.134
                                         N063.58.36.531 W022.36.34.180
                                         N063.58.26.651 W022.36.34.143
                                         N063.58.09.134 W022.36.34.139
                                         N063.57.53.826 W022.36.34.225
                                         N063.57.53.424 W022.36.33.933
                                         N063.57.53.205 W022.36.33.695
                                         N063.57.52.944 W022.36.33.135
                                         N063.57.52.719 W022.36.32.394
                                         N063.57.52.565 W022.36.31.538
                                         N063.57.52.568 W022.36.30.138
                                         N063.57.52.562 W022.36.22.540
                                         N063.57.52.684 W022.36.20.943
                                         N063.57.52.942 W022.36.20.337
                                         N063.57.53.337 W022.36.19.867
                                         N063.58.44.933 W022.36.19.789
                                         N063.58.46.703 W022.36.19.913
                                         N063.58.47.885 W022.36.20.210
                                         N063.58.49.018 W022.36.20.612
                                         N063.58.50.659 W022.36.21.434
                                         N063.58.52.759 W022.36.23.334
                                         N063.59.01.007 W022.36.33.861
                                         N063.59.01.264 W022.36.34.022
                                         N063.59.01.547 W022.36.34.131
                                         N063.58.31.998 W022.36.19.843
                                         N063.58.30.122 W022.36.19.828
                                         N063.58.28.713 W022.36.19.828
                                         N063.58.23.072 W022.36.19.825
                                         N063.58.26.216 W022.36.19.833
                                         N063.58.26.571 W022.36.20.210
                                         N063.58.27.022 W022.36.21.151
                                         N063.58.27.276 W022.36.22.645
                                         N063.58.27.485 W022.36.24.277
                                         N063.58.27.613 W022.36.25.524
                                         N063.58.27.741 W022.36.26.570
                                         N063.58.27.962 W022.36.28.648
                                         N063.58.28.121 W022.36.30.384
                                         N063.58.28.120 W022.36.30.872
                                         N063.58.28.108 W022.36.31.398
                                         N063.58.28.019 W022.36.32.029
                                         N063.58.27.856 W022.36.32.790
                                         N063.58.27.617 W022.36.33.454
                                         N063.58.27.435 W022.36.33.698
                                         N063.58.27.086 W022.36.34.113
                                         N063.58.26.919 W022.36.34.145
                                         N063.58.28.566 W022.36.34.157
                                         N063.58.28.095 W022.36.30.160
                                         N063.58.28.326 W022.36.32.105
                                         N063.58.28.463 W022.36.32.632
                                         N063.58.28.588 W022.36.33.011
                                         N063.58.28.719 W022.36.33.288
                                         N063.58.28.866 W022.36.33.549
                                         N063.58.28.958 W022.36.33.697
                                         N063.58.29.093 W022.36.33.855
                                         N063.58.29.271 W022.36.34.004
                                         N063.58.29.385 W022.36.34.088
                                         N063.58.29.582 W022.36.34.157
                                         N063.58.30.133 W022.36.34.157
                                         N063.58.29.938 W022.36.34.251
                                         N063.58.29.808 W022.36.34.422
                                         N063.58.29.646 W022.36.34.697
